freq,sex,age,unit,isced11,geo\TIME_PERIOD	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,T,Y20-29,PC,TOTAL,AT	73.1 b	73.1 b	73.9 b	74.6 	73.7 	73.5 	74.8 	74.9 	74.5 	73.1 b	73.4 	74.0 	73.6 	74.1 	75.6 	73.2 	74.7 b	76.7 	76.4 	75.6 
A,T,Y20-29,PC,TOTAL,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43.9 b	43.9 	45.6 	47.9 
A,T,Y20-29,PC,TOTAL,BE	63.7 b	64.0 	64.5 	64.5 b	61.8 	61.0 	60.5 b	59.4 	57.9 	57.8 b	57.6 	57.6 	57.5 b	58.9 	60.9 	58.1 	59.2 b	60.1 	60.0 	59.6 
A,T,Y20-29,PC,TOTAL,BG	53.3 b	56.5 b	59.4 	61.9 b	57.8 	54.1 b	50.5 b	49.9 	48.5 	50.0 b	52.0 	51.1 	56.3 	55.8 	58.5 b	54.8 	51.3 b	56.0 	56.0 	54.5 b
A,T,Y20-29,PC,TOTAL,CH	78.4 b	80.3 	80.3 	80.7 	77.9 	78.0 b	79.0 	78.5 	77.7 	78.4 b	79.2 	79.5 	80.2 	80.1 	79.9 	79.2 	79.1 b	79.3 	79.8 	79.7 
A,T,Y20-29,PC,TOTAL,CY	73.1 b	74.7 	74.8 	74.1 	71.9 b	70.6 	67.4 	63.3 	58.3 	60.5 b	59.9 	60.5 	62.6 	66.4 	69.2 	68.0 	69.8 b	71.2 	71.5 	70.8 
A,T,Y20-29,PC,TOTAL,CZ	62.0 b	62.6 	63.8 	63.1 	60.1 	58.4 	58.2 b	57.8 	59.1 	60.2 b	61.8 	63.4 	65.7 	66.4 	66.6 	63.7 	63.6 b	64.1 	64.6 	62.8 
A,T,Y20-29,PC,TOTAL,DE	64.3 b	66.4 b	68.1 	69.5 	68.8 	69.5 b	71.4 b	71.0 b	71.2 	71.2 b	71.4 	71.6 	72.0 	73.3 	74.4 	73.0 b	73.8 b	75.9 	76.9 	77.1 
A,T,Y20-29,PC,TOTAL,DK	75.3 b	77.1 	78.2 b	77.5 b	73.4 	69.1 	68.4 	66.1 	66.1 	66.5 b	67.4 	66.9 b	67.3 b	68.9 	69.5 	68.8 	70.8 b	73.5 	73.0 b	74.1 
A,T,Y20-29,PC,TOTAL,EA20	63.4 b	64.6 	65.6 	65.5 	62.4 	61.0 	60.5 	58.9 	57.7 	57.9 b	58.7 	59.8 	60.9 	62.1 	63.0 	60.4 	62.5 b	65.2 	66.0 	66.2 
A,T,Y20-29,PC,TOTAL,EE	65.3 b	68.5 	68.5 	69.8 	59.2 	56.2 	61.5 	61.8 	62.9 	65.5 b	68.5 	68.1 	72.6 	74.4 	73.4 	69.5 	72.2 b	76.3 	75.8 	73.1 
A,T,Y20-29,PC,TOTAL,EL	56.6 b	57.6 	57.7 	58.0 	57.3 b	53.5 	46.4 	40.2 	36.7 	38.3 b	40.3 	41.0 	42.2 	44.1 	46.0 	43.8 	45.4 b	50.5 	52.6 	54.8 
A,T,Y20-29,PC,TOTAL,ES	67.2 b	69.0 b	69.4 	66.2 	57.7 	54.7 	51.7 	46.9 	44.6 	45.7 b	47.1 	48.6 	51.4 	53.2 	53.8 	48.6 	51.5 bd	55.2 d	56.3 d	56.9 d
A,T,Y20-29,PC,TOTAL,EU27_2020	61.6 b	62.9 	64.0 	64.4 	61.5 	60.3 	59.8 	58.5 	57.7 	58.2 b	59.3 	60.4 	61.8 	62.9 	63.7 	61.3 	62.8 b	65.1 	65.9 	65.9 
A,T,Y20-29,PC,TOTAL,FI	67.8 b	69.0 	71.3 b	72.4 b	67.3 	67.0 	67.8 	67.8 	66.9 	65.5 b	64.6 	65.9 	66.7 	68.4 	69.5 	66.9 	67.9 b	69.1 	68.8 	67.2 
A,T,Y20-29,PC,TOTAL,FR	63.4 b	63.6 b	64.5 	65.2 	63.7 	63.1 	62.3 	61.1 	60.9 b	60.3 b	60.9 	61.5 	62.2 	63.4 	63.4 	61.5 	65.2 bd	67.2 d	67.5 d	67.7 d
A,T,Y20-29,PC,TOTAL,HR	55.7 b	55.9 b	60.7 	61.6 	59.1 	55.2 b	49.8 	46.2 b	44.6 	48.1 b	49.3 	54.9 	56.0 	55.7 	59.0 	57.7 	57.7 b	61.1 	59.3 	61.1 
A,T,Y20-29,PC,TOTAL,HU	56.8 b	56.6 	56.0 	54.8 	51.2 	50.1 	50.2 	50.4 	52.2 	56.7 b	58.5 	61.7 	63.8 	64.3 b	64.2 	63.6 	66.7 b	67.3 	66.3 	66.5 
A,T,Y20-29,PC,TOTAL,IE	75.7 b	77.1 	81.6 b	77.7 	68.5 	63.7 	61.3 	61.3 	63.5 	64.3 b	66.3 	70.0 	70.2 b	71.0 	72.1 	66.8 	70.3 b	75.2 	75.7 	77.0 
